city,lat,long,make,mileage,model,price,province,sepc,year
Okotoks,50.7253685,-113.975082,Ford,61423,Ford Mustang,10500,Alberta,Ford Mustang LEATHER ,2008
Aylmer,42.773227,-80.983658,Ford,142000,Ford F-150,10995,Ontario,Ford F-150 FX2! S CAB! CLEAN CARPROOF! BACKUP SENSOR!,2008
Medicine Hat,50.04303,-110.679016,Ford,338707,Ford F-350,12888,Alberta,Ford F-350 Lariat,2008
Toronto,43.653963,-79.387207,Ford,291949,Ford Ranger,3888,Ontario,Ford Ranger Sport,2008
Fort Macleod,49.7257568,-113.4053475,Ford,81120,Ford Escape,10889,Alberta,Ford Escape 4WD 4dr I4 Hybrid,2008
Ottawa,45.421106,-75.690308,Ford,165806,Ford Edge,7569,Ontario,Ford Edge SEL V6 HTD SEATS DUAL CLIMATE ALLOYS,2008
Calgary,51.02532675,-114.049868485806,Ford,190743,Ford Escape,7888,Alberta,Ford Escape XLT 3.0L,2008
London,42.9537654,-81.2291529,Ford,93001,Ford Ranger,8890,Ontario,Ford Ranger Sport,2008
Fort Macleod,49.7257568,-113.4053475,Ford,194125,Ford F-150,10778,Alberta,Ford F-150 FX4 Quad Luxury Leather-Sunroof-Nav,2008
Kingston,44.3054151,-76.4283781,Ford,229297,Ford Ranger,8990,Ontario,Ford Ranger,2008
New Westminster,49.205728,-122.9108651,Ford,187142,Ford Escape,7900,British Columbia,Ford Escape XLT 4WD,2008
Surrey,49.1913033,-122.8491439,Ford,191586,Ford Ranger,12888,British Columbia,Ford Ranger FX4,2008
Terrebonne,45.7081005,-73.6515157,Ford,138139,Ford Ranger,8991,Québec,Ford Ranger Sport 2X4 KING CAB BOITE FIBROBEC,2008
Mississauga,43.590338,-79.645729,Ford,235528,Ford Taurus,3745,Ontario,Ford Taurus X SEL - 6 PASS ,2008
Mississauga,43.590338,-79.645729,Ford,290118,Ford Ranger,3745,Ontario,Ford Ranger Sport ,2008
Saint John,45.278752,-66.058044,Ford,172499,Ford F-150,7300,New Brunswick,Ford F-150 F150 4x4 - As Traded!,2008
Aylmer,42.773227,-80.983658,Ford,173000,Ford F-350,15995,Ontario,Ford F-350 XLT! S CAB! AS IS! DIESEL!,2008
Grande Prairie,55.1709919,-118.7948882,Ford,147101,Ford F-350,24998,Alberta,Ford F-350,2008
